date,geography_code,c_sex_name,c_nssec_name,c_hhchuk11_name,obs_value
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One person household - Pensioner,67
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One person household - Other,4013
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One family and no others - All pensioners,126
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One family and no others - Couple households - No children,3107
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One family and no others - Couple households - With one dependent child,1012
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One family and no others - Couple households - With two or more dependent child,1378
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One family and no others - Couple households - All children non-dependent,268
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One family and no others - Lone parent households - With one dependent child,44
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One family and no others - Lone parent households - With two or more dependent children,26
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",One family and no others - Lone parent households - All children non-dependent,33
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",Other households - With one dependent child,120
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",Other households - With two or more dependent children,167
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",Other households - All student,0
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",Other households - All pensioner,6
2001,E09000007,Males,"1. Higher managerial, administrative and professional occupations",Other households - Other,1667
2001,E09000007,Males,1.1 Large employers and higher managerial and administrative occupations,One person household - Pensioner,10
2001,E09000007,Males,1.1 Large employers and higher managerial and administrative occupations,One person household - Other,1204
2001,E09000007,Males,1.1 Large employers and higher managerial and administrative occupations,One family and no others - All pensioners,16
2001,E09000007,Males,1.1 Large employers and higher managerial and administrative occupations,One family and no others - Couple households - No children,1028
2001,E09000007,Males,1.1 Large employers and higher managerial and administrative occupations,One family and no others - Couple households - With one dependent child,394
2001,E09000007,Males,1.1 Large employers and higher managerial and administrative occupations,One family and no others - Couple households - With two or more dependent child,538
2001,E09000007,Males,1.1 Large employers and higher managerial and administrative occupations,One family and no others - Couple households - All children non-dependent,83
2001,E09000007,Males,1.1 Large employers and higher managerial and administrative occupations,One family and no others - Lone parent households - With one dependent child,19
2001,E09000007,Males,1.1 Large employers and higher managerial and administrative occupations,One family and no others - Lone parent households - With two or more dependent children,8
