date,geography_code,c_bedrooms_name,c_age_name,c_typaccom_name,obs_value
2011,E09000012,1 bedroom,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),65
2011,E09000012,1 bedroom,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",2990
2011,E09000012,1 bedroom,Age 10 to 18,Whole house or bungalow: Detached,10
2011,E09000012,1 bedroom,Age 10 to 18,Whole house or bungalow: Semi-detached,15
2011,E09000012,1 bedroom,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),40
2011,E09000012,1 bedroom,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",787
2011,E09000012,2 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,143
2011,E09000012,2 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,256
2011,E09000012,2 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),656
2011,E09000012,2 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",12889
2011,E09000012,2 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,98
2011,E09000012,2 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,165
2011,E09000012,2 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),362
2011,E09000012,2 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",5639
2011,E09000012,3 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,390
2011,E09000012,3 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,705
2011,E09000012,3 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),2723
2011,E09000012,3 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",6627
2011,E09000012,3 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,390
2011,E09000012,3 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,743
2011,E09000012,3 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),2141
2011,E09000012,3 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",5470
2011,E09000012,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Detached,498
2011,E09000012,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,1196
2011,E09000012,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),3589
2011,E09000012,4 or more bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",1686
2011,E09000012,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Detached,590
2011,E09000012,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,1386
2011,E09000012,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),3605
2011,E09000012,4 or more bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",1650
2011,E09000013,1 bedroom,Age 0 to 9,Whole house or bungalow: Detached,18
2011,E09000013,1 bedroom,Age 0 to 9,Whole house or bungalow: Semi-detached,23
2011,E09000013,1 bedroom,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),59
2011,E09000013,1 bedroom,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",1707
2011,E09000013,1 bedroom,Age 10 to 18,Whole house or bungalow: Detached,10
2011,E09000013,1 bedroom,Age 10 to 18,Whole house or bungalow: Semi-detached,16
2011,E09000013,1 bedroom,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),25
2011,E09000013,1 bedroom,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",481
2011,E09000013,2 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,103
2011,E09000013,2 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,173
2011,E09000013,2 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),575
2011,E09000013,2 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",6076
2011,E09000013,2 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,53
2011,E09000013,2 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,146
2011,E09000013,2 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),364
2011,E09000013,2 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",3160
2011,E09000013,3 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,196
2011,E09000013,3 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,505
2011,E09000013,3 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),1792
2011,E09000013,3 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",2734
2011,E09000013,3 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,138
2011,E09000013,3 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,561
2011,E09000013,3 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),1101
2011,E09000013,3 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",2381
2011,E09000013,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Detached,164
2011,E09000013,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,1166
2011,E09000013,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),4549
2011,E09000013,4 or more bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",613
2011,E09000013,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Detached,234
2011,E09000013,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,975
2011,E09000013,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),2306
2011,E09000013,4 or more bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",684
2011,E09000014,1 bedroom,Age 0 to 9,Whole house or bungalow: Detached,94
2011,E09000014,1 bedroom,Age 0 to 9,Whole house or bungalow: Semi-detached,138
2011,E09000014,1 bedroom,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),173
2011,E09000014,1 bedroom,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",3313
2011,E09000014,1 bedroom,Age 10 to 18,Whole house or bungalow: Detached,50
2011,E09000014,1 bedroom,Age 10 to 18,Whole house or bungalow: Semi-detached,83
2011,E09000014,1 bedroom,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),92
2011,E09000014,1 bedroom,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",1088
2011,E09000014,2 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,610
2011,E09000014,2 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,795
2011,E09000014,2 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),1908
2011,E09000014,2 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",9610
2011,E09000014,2 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,384
2011,E09000014,2 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,566
2011,E09000014,2 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),1417
2011,E09000014,2 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",4931
2011,E09000014,3 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,936
2011,E09000014,3 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,1530
2011,E09000014,3 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),4205
2011,E09000014,3 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",3107
2011,E09000014,3 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,918
2011,E09000014,3 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,1619
2011,E09000014,3 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),3557
2011,E09000014,3 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",2906
2011,E09000014,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Detached,798
2011,E09000014,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,1851
2011,E09000014,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),4274
2011,E09000014,4 or more bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",543
2011,E09000014,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Detached,951
2011,E09000014,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,1965
2011,E09000014,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),3964
2011,E09000014,4 or more bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",516
2011,E09000019,1 bedroom,Age 0 to 9,Whole house or bungalow: Detached,17
2011,E09000019,1 bedroom,Age 0 to 9,Whole house or bungalow: Semi-detached,42
2011,E09000019,1 bedroom,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),47
2011,E09000019,1 bedroom,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",2356
2011,E09000019,1 bedroom,Age 10 to 18,Whole house or bungalow: Detached,4
2011,E09000019,1 bedroom,Age 10 to 18,Whole house or bungalow: Semi-detached,22
2011,E09000019,1 bedroom,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),26
2011,E09000019,1 bedroom,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",700
2011,E09000019,2 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,56
2011,E09000019,2 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,115
2011,E09000019,2 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),342
2011,E09000019,2 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",8824
2011,E09000019,2 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,41
2011,E09000019,2 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,92
2011,E09000019,2 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),173
2011,E09000019,2 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",4558
2011,E09000019,3 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,114
2011,E09000019,3 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,275
2011,E09000019,3 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),1545
2011,E09000019,3 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",4106
2011,E09000019,3 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,149
2011,E09000019,3 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,312
2011,E09000019,3 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),968
2011,E09000019,3 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",4352
2011,E09000019,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Detached,184
2011,E09000019,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,522
2011,E09000019,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),2430
2011,E09000019,4 or more bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",885
2011,E09000019,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Detached,232
2011,E09000019,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,520
2011,E09000019,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),1853
2011,E09000019,4 or more bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",1089
2011,E09000020,1 bedroom,Age 0 to 9,Whole house or bungalow: Detached,14
2011,E09000020,1 bedroom,Age 0 to 9,Whole house or bungalow: Semi-detached,24
2011,E09000020,1 bedroom,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),44
2011,E09000020,1 bedroom,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",1176
2011,E09000020,1 bedroom,Age 10 to 18,Whole house or bungalow: Detached,4
2011,E09000020,1 bedroom,Age 10 to 18,Whole house or bungalow: Semi-detached,6
2011,E09000020,1 bedroom,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),24
2011,E09000020,1 bedroom,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",448
2011,E09000020,2 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,66
2011,E09000020,2 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,81
2011,E09000020,2 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),214
2011,E09000020,2 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",5124
2011,E09000020,2 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,40
2011,E09000020,2 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,42
2011,E09000020,2 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),93
2011,E09000020,2 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",2930
2011,E09000020,3 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,75
2011,E09000020,3 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,267
2011,E09000020,3 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),1045
2011,E09000020,3 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",3572
2011,E09000020,3 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,64
2011,E09000020,3 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,156
2011,E09000020,3 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),509
2011,E09000020,3 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",2427
2011,E09000020,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Detached,254
2011,E09000020,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,851
2011,E09000020,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),2604
2011,E09000020,4 or more bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",1383
2011,E09000020,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Detached,250
2011,E09000020,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,609
2011,E09000020,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),1666
2011,E09000020,4 or more bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",1054
2011,E09000022,1 bedroom,Age 0 to 9,Whole house or bungalow: Detached,63
2011,E09000022,1 bedroom,Age 0 to 9,Whole house or bungalow: Semi-detached,97
2011,E09000022,1 bedroom,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),107
2011,E09000022,1 bedroom,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",3570
2011,E09000022,1 bedroom,Age 10 to 18,Whole house or bungalow: Detached,38
2011,E09000022,1 bedroom,Age 10 to 18,Whole house or bungalow: Semi-detached,43
2011,E09000022,1 bedroom,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),31
2011,E09000022,1 bedroom,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",993
2011,E09000022,2 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,203
2011,E09000022,2 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,510
2011,E09000022,2 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),831
2011,E09000022,2 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",13433
2011,E09000022,2 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,94
2011,E09000022,2 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,289
2011,E09000022,2 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),439
2011,E09000022,2 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",6275
2011,E09000022,3 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,500
2011,E09000022,3 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,1438
2011,E09000022,3 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),2979
2011,E09000022,3 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",5937
2011,E09000022,3 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,398
2011,E09000022,3 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,1292
2011,E09000022,3 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),2276
2011,E09000022,3 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",5546
2011,E09000022,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Detached,663
2011,E09000022,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,2288
2011,E09000022,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),3329
2011,E09000022,4 or more bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",1124
2011,E09000022,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Detached,693
2011,E09000022,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,2222
2011,E09000022,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),2439
2011,E09000022,4 or more bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",1404
2011,E09000023,1 bedroom,Age 0 to 9,Whole house or bungalow: Detached,61
2011,E09000023,1 bedroom,Age 0 to 9,Whole house or bungalow: Semi-detached,86
2011,E09000023,1 bedroom,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),141
2011,E09000023,1 bedroom,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",3061
2011,E09000023,1 bedroom,Age 10 to 18,Whole house or bungalow: Detached,18
2011,E09000023,1 bedroom,Age 10 to 18,Whole house or bungalow: Semi-detached,37
2011,E09000023,1 bedroom,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),85
2011,E09000023,1 bedroom,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",845
2011,E09000023,2 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,363
2011,E09000023,2 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,977
2011,E09000023,2 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),2580
2011,E09000023,2 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",11775
2011,E09000023,2 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,173
2011,E09000023,2 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,451
2011,E09000023,2 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),1395
2011,E09000023,2 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",4876
2011,E09000023,3 bedrooms,Age 0 to 9,Whole house or bungalow: Detached,744
2011,E09000023,3 bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,3155
2011,E09000023,3 bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),6656
2011,E09000023,3 bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",3409
2011,E09000023,3 bedrooms,Age 10 to 18,Whole house or bungalow: Detached,579
2011,E09000023,3 bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,2625
2011,E09000023,3 bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),5680
2011,E09000023,3 bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",2916
2011,E09000023,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Detached,534
2011,E09000023,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Semi-detached,2117
2011,E09000023,4 or more bedrooms,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),2524
2011,E09000023,4 or more bedrooms,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",484
2011,E09000023,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Detached,639
2011,E09000023,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Semi-detached,2324
2011,E09000023,4 or more bedrooms,Age 10 to 18,Whole house or bungalow: Terraced (including end-terrace),2624
2011,E09000023,4 or more bedrooms,Age 10 to 18,"Flat, maisonette or apartment, or mobile/temporary accommodation",502
2011,E09000025,1 bedroom,Age 0 to 9,Whole house or bungalow: Detached,163
2011,E09000025,1 bedroom,Age 0 to 9,Whole house or bungalow: Semi-detached,225
2011,E09000025,1 bedroom,Age 0 to 9,Whole house or bungalow: Terraced (including end-terrace),269
2011,E09000025,1 bedroom,Age 0 to 9,"Flat, maisonette or apartment, or mobile/temporary accommodation",3718
